2016-01-20 11:33:45,139 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-20 11:33:45,140 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Binh Pham\MusicStoreSpringMVC\MusicStoreSpringMVC\src\test\resources
2016-01-20 13:07:02,914 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-20 13:07:02,929 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Binh Pham\MusicStoreSpringMVC\MusicStoreSpringMVC\src\main\resources
2016-01-20 13:07:02,929 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-20 13:07:02,929 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Binh Pham\MusicStoreSpringMVC\MusicStoreSpringMVC\src\test\resources
2016-01-20 13:25:02,811 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: MusicStoreSpringMVC:MusicStoreSpringMVC:0.0.1-SNAPSHOT @ C:\Users\Binh Pham\MusicStoreSpringMVC\MusicStoreSpringMVC\pom.xml.
2016-01-20 13:25:03,286 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-20 13:25:03,287 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Binh Pham\MusicStoreSpringMVC\MusicStoreSpringMVC\src\main\resources
2016-01-20 13:25:03,289 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
